,Team 1,Agg.,Team 2,1st leg,2nd leg,year
RO16,Roma,2–6,Shakhtar Donetsk,2–3,0–3,2010/11
RO16,Milan,0–1,Tottenham Hotspur,0–1,0–0,2010/11
RO16,Valencia,2–4,Schalke 04,1–1,1–3,2010/11
RO16,Internazionale,3–3 (a),Bayern Munich,0–1,3–2,2010/11
RO16,Lyon,1–4,Real Madrid,1–1,0–3,2010/11
RO16,Arsenal,3–4,Barcelona,2–1,1–3,2010/11
RO16,Marseille,1–2,Manchester United,0–0,1–2,2010/11
RO16,Copenhagen,0–2,Chelsea,0–2,0–0,2010/11
Quarter,Real Madrid,5–0,Tottenham Hotspur,4–0,1–0,2010/11
Quarter,Chelsea,1–3,Manchester United,0–1,1–2,2010/11
Quarter,Barcelona,6–1,Shakhtar Donetsk,5–1,1–0,2010/11
Quarter,Internazionale,3–7,Schalke 04,2–5,1–2,2010/11
Semi,Schalke 04,1–6,Manchester United,0–2,1–4,2010/11
Semi,Real Madrid,1–3,Barcelona,0–2,1–1,2010/11
Final,Barcelona ,3–1, Manchester United,null,null,2010/11
RO16,Lyon,1–1 (3–4 p),APOEL,1–0,0–1 (a.e.t.),2011/12
RO16,Napoli,4–5,Chelsea,3–1,1–4 (a.e.t.),2011/12
RO16,Milan,4–3,Arsenal,4–0,0–3,2011/12
RO16,Basel,1–7,Bayern Munich,1–0,0–7,2011/12
RO16,Bayer Leverkusen,2–10,Barcelona,1–3,1–7,2011/12
RO16,CSKA Moscow,2–5,Real Madrid,1–1,1–4,2011/12
RO16,Zenit Saint Petersburg,3–4,Benfica,3–2,0–2,2011/12
RO16,Marseille,2–2 (a),Internazionale,1–0,1–2,2011/12
Quarter,APOEL,2–8,Real Madrid,0–3,2–5,2011/12
Quarter,Marseille,0–4,Bayern Munich,0–2,0–2,2011/12
Quarter,Benfica,1–3,Chelsea,0–1,1–2,2011/12
Quarter,Milan,1–3,Barcelona,0–0,1–3,2011/12
Semi,Bayern Munich,3–3 (3–1 p),Real Madrid,2–1,1–2 (a.e.t.),2011/12
Semi,Chelsea,3–2,Barcelona,1–0,2–2,2011/12
Final,Bayern Munich ,1–1 (a.e.t.), Chelsea,null,null,2011/12
RO16,Galatasaray,4–3,Schalke 04,1–1,3–2,2012/13
RO16,Celtic,0–5,Juventus,0–3,0–2,2012/13
RO16,Arsenal,3–3 (a),Bayern Munich,1–3,2–0,2012/13
RO16,Shakhtar Donetsk,2–5,Borussia Dortmund,2–2,0–3,2012/13
RO16,Milan,2–4,Barcelona,2–0,0–4,2012/13
RO16,Real Madrid,3–2,Manchester United,1–1,2–1,2012/13
RO16,Valencia,2–3,Paris Saint-Germain,1–2,1–1,2012/13
RO16,Porto,1–2,Málaga,1–0,0–2,2012/13
Quarter,Málaga,2–3,Borussia Dortmund,0–0,2–3,2012/13
Quarter,Real Madrid,5–3,Galatasaray,3–0,2–3,2012/13
Quarter,Paris Saint-Germain,3–3 (a),Barcelona,2–2,1–1,2012/13
Quarter,Bayern Munich,4–0,Juventus,2–0,2–0,2012/13
Semi,Bayern Munich,7–0,Barcelona,4–0,3–0,2012/13
Semi,Borussia Dortmund,4–3,Real Madrid,4–1,0–2,2012/13
Final,Borussia Dortmund ,1–2, Bayern Munich,null,null,2012/13
RO16,Manchester City,1–4,Barcelona,0–2,1–2,2013/14
RO16,Olympiacos,2–3,Manchester United,2–0,0–3,2013/14
RO16,Milan,1–5,Atlético Madrid,0–1,1–4,2013/14
RO16,Bayer Leverkusen,1–6,Paris Saint-Germain,0–4,1–2,2013/14
RO16,Galatasaray,1–3,Chelsea,1–1,0–2,2013/14
RO16,Schalke 04,2–9,Real Madrid,1–6,1–3,2013/14
RO16,Zenit Saint Petersburg,4–5,Borussia Dortmund,2–4,2–1,2013/14
RO16,Arsenal,1–3,Bayern Munich,0–2,1–1,2013/14
Quarter,Barcelona,1–2,Atlético Madrid,1–1,0–1,2013/14
Quarter,Real Madrid,3–2,Borussia Dortmund,3–0,0–2,2013/14
Quarter,Paris Saint-Germain,3–3 (a),Chelsea,3–1,0–2,2013/14
Quarter,Manchester United,2–4,Bayern Munich,1–1,1–3,2013/14
Semi,Real Madrid,5–0,Bayern Munich,1–0,4–0,2013/14
Semi,Atlético Madrid,3–1,Chelsea,0–0,3–1,2013/14
Final,Real Madrid ,4–1 (a.e.t.), Atlético Madrid,null,null,2013/14
RO16,Paris Saint-Germain,3–3 (a),Chelsea,1–1,2–2 (a.e.t.),2014/15
RO16,Manchester City,1–3,Barcelona,1–2,0–1,2014/15
RO16,Bayer Leverkusen,1–1 (2–3 p),Atlético Madrid,1–0,0–1 (a.e.t.),2014/15
RO16,Juventus,5–1,Borussia Dortmund,2–1,3–0,2014/15
RO16,Schalke 04,4–5,Real Madrid,0–2,4–3,2014/15
RO16,Shakhtar Donetsk,0–7,Bayern Munich,0–0,0–7,2014/15
RO16,Arsenal,3–3 (a),Monaco,1–3,2–0,2014/15
RO16,Basel,1–5,Porto,1–1,0–4,2014/15
Quarter,Paris Saint-Germain,1–5,Barcelona,1–3,0–2,2014/15
Quarter,Atlético Madrid,0–1,Real Madrid,0–0,0–1,2014/15
Quarter,Porto,4–7,Bayern Munich,3–1,1–6,2014/15
Quarter,Juventus,1–0,Monaco,1–0,0–0,2014/15
Semi,Barcelona,5–3,Bayern Munich,3–0,2–3,2014/15
Semi,Juventus,3–2,Real Madrid,2–1,1–1,2014/15
Final,Juventus ,1–3, Barcelona,null,null,2014/15
RO16,Gent,2–4,Wolfsburg,2–3,0–1,2015/16
RO16,Roma,0–4,Real Madrid,0–2,0–2,2015/16
RO16,Paris Saint-Germain,4–2,Chelsea,2–1,2–1,2015/16
RO16,Arsenal,1–5,Barcelona,0–2,1–3,2015/16
RO16,Juventus,4–6,Bayern Munich,2–2,2–4 (a.e.t.),2015/16
RO16,PSV Eindhoven,0–0 (7–8 p),Atlético Madrid,0–0,0–0 (a.e.t.),2015/16
RO16,Benfica,3–1,Zenit Saint Petersburg,1–0,2–1,2015/16
RO16,Dynamo Kyiv,1–3,Manchester City,1–3,0–0,2015/16
Quarter,Wolfsburg,2–3,Real Madrid,2–0,0–3,2015/16
Quarter,Bayern Munich,3–2,Benfica,1–0,2–2,2015/16
Quarter,Barcelona,2–3,Atlético Madrid,2–1,0–2,2015/16
Quarter,Paris Saint-Germain,2–3,Manchester City,2–2,0–1,2015/16
Semi,Manchester City,0–1,Real Madrid,0–0,0–1,2015/16
Semi,Atlético Madrid,2–2 (a),Bayern Munich,1–0,1–2,2015/16
Final,Real Madrid ,1–1 (a.e.t.), Atlético Madrid,null,null,2015/16
RO16,Manchester City,6–6 (a),Monaco,5–3,1–3,2016/17
RO16,Real Madrid,6–2,Napoli,3–1,3–1,2016/17
RO16,Benfica,1–4,Borussia Dortmund,1–0,0–4,2016/17
RO16,Bayern Munich,10–2,Arsenal,5–1,5–1,2016/17
RO16,Porto,0–3,Juventus,0–2,0–1,2016/17
RO16,Bayer Leverkusen,2–4,Atlético Madrid,2–4,0–0,2016/17
RO16,Paris Saint-Germain,5–6,Barcelona,4–0,1–6,2016/17
RO16,Sevilla,2–3,Leicester City,2–1,0–2,2016/17
Quarter,Atlético Madrid,2–1,Leicester City,1–0,1–1,2016/17
Quarter,Borussia Dortmund,3–6,Monaco,2–3,1–3,2016/17
Quarter,Bayern Munich,3–6,Real Madrid,1–2,2–4 (a.e.t.),2016/17
Quarter,Juventus,3–0,Barcelona,3–0,0–0,2016/17
Semi,Real Madrid,4–2,Atlético Madrid,3–0,1–2,2016/17
Semi,Monaco,1–4,Juventus,0–2,1–2,2016/17
Final,Juventus ,1–4, Real Madrid,null,null,2016/17
RO16,Juventus,4–3,Tottenham Hotspur,2–2,2–1,2017/18
RO16,Basel,2–5,Manchester City,0–4,2–1,2017/18
RO16,Porto,0–5,Liverpool,0–5,0–0,2017/18
RO16,Sevilla,2–1,Manchester United,0–0,2–1,2017/18
RO16,Real Madrid,5–2,Paris Saint-Germain,3–1,2–1,2017/18
RO16,Shakhtar Donetsk,2–2 (a),Roma,2–1,0–1,2017/18
RO16,Chelsea,1–4,Barcelona,1–1,0–3,2017/18
RO16,Bayern Munich,8–1,Beşiktaş,5–0,3–1,2017/18
Quarter,Barcelona,4–4 (a),Roma,4–1,0–3,2017/18
Quarter,Sevilla,1–2,Bayern Munich,1–2,0–0,2017/18
Quarter,Juventus,3–4,Real Madrid,0–3,3–1,2017/18
Quarter,Liverpool,5–1,Manchester City,3–0,2–1,2017/18
Semi,Bayern Munich,3–4,Real Madrid,1–2,2–2,2017/18
Semi,Liverpool,7–6,Roma,5–2,2–4,2017/18
Final,Real Madrid ,3–1, Liverpool,null,null,2017/18
RO16,Schalke 04,2–10,Manchester City,2–3,0–7,2018/19
RO16,Atlético Madrid,2–3,Juventus,2–0,0–3,2018/19
RO16,Manchester United,3–3 (a),Paris Saint-Germain,0–2,3–1,2018/19
RO16,Tottenham Hotspur,4–0,Borussia Dortmund,3–0,1–0,2018/19
RO16,Lyon,1–5,Barcelona,0–0,1–5,2018/19
RO16,Roma,3–4,Porto,2–1,1–3 (a.e.t.),2018/19
RO16,Ajax,5–3,Real Madrid,1–2,4–1,2018/19
RO16,Liverpool,3–1,Bayern Munich,0–0,3–1,2018/19
Quarter,Ajax,3–2,Juventus,1–1,2–1,2018/19
Quarter,Liverpool,6–1,Porto,2–0,4–1,2018/19
Quarter,Tottenham Hotspur,4–4 (a),Manchester City,1–0,3–4,2018/19
Quarter,Manchester United,0–4[A],Barcelona,0–1,0–3,2018/19
Semi,Tottenham Hotspur,3–3 (a),Ajax,0–1,3–2,2018/19
Semi,Barcelona,3–4,Liverpool,3–0,0–4,2018/19
Final,Tottenham Hotspur ,0–2, Liverpool,null,null,2018/19
RO16,Borussia Dortmund,2–3,Paris Saint-Germain,2–1,0–2,2019/20
RO16,Real Madrid,2–4,Manchester City,1–2,1–2,2019/20
RO16,Atalanta,8–4,Valencia,4–1,4–3,2019/20
RO16,Atlético Madrid,4–2,Liverpool,1–0,3–2 (a.e.t.),2019/20
RO16,Chelsea,1–7,Bayern Munich,0–3,1–4,2019/20
RO16,Lyon,2–2 (a),Juventus,1–0,1–2,2019/20
RO16,Tottenham Hotspur,0–4,RB Leipzig,0–1,0–3,2019/20
RO16,Napoli,2–4,Barcelona,1–1,1–3,2019/20
Quarter,Manchester City,1–3,Lyon,null,null,2019/20
Quarter,RB Leipzig,2–1,Atlético Madrid,null,null,2019/20
Quarter,Barcelona,2–8,Bayern Munich,null,null,2019/20
Quarter,Atalanta,1–2,Paris Saint-Germain,null,null,2019/20
Semi,Lyon,0–3,Bayern Munich,null,null,2019/20
Semi,RB Leipzig,0–3,Paris Saint-Germain,null,null,2019/20
Final,Paris Saint-Germain ,0–1, Bayern Munich,null,null,2019/20
RO16,Borussia Mönchengladbach,0–4,Manchester City,0–2,0–2,2020/21
RO16,Lazio,2–6,Bayern Munich,1–4,1–2,2020/21
RO16,Atlético Madrid,0–3,Chelsea,0–1,0–2,2020/21
RO16,RB Leipzig,0–4,Liverpool,0–2,0–2,2020/21
RO16,Porto,4–4 (a),Juventus,2–1,2–3 (a.e.t.),2020/21
RO16,Barcelona,2–5,Paris Saint-Germain,1–4,1–1,2020/21
RO16,Sevilla,4–5,Borussia Dortmund,2–3,2–2,2020/21
RO16,Atalanta,1–4,Real Madrid,0–1,1–3,2020/21
Quarter,Manchester City,4–2,Borussia Dortmund,2–1,2–1,2020/21
Quarter,Porto,1–2,Chelsea,0–2,1–0,2020/21
Quarter,Bayern Munich,3–3 (a),Paris Saint-Germain,2–3,1–0,2020/21
Quarter,Real Madrid,3–1,Liverpool,3–1,0–0,2020/21
Semi,Paris Saint-Germain,1–4,Manchester City,1–2,0–2,2020/21
Semi,Real Madrid,1–3,Chelsea,1–1,0–2,2020/21
Final,Manchester City ,0–1, Chelsea,null,null,2020/21
RO16,Red Bull Salzburg,2–8,Bayern Munich,1–1,1–7,2021/22
RO16,Sporting CP,0–5,Manchester City,0–5,0–0,2021/22
RO16,Benfica,3–2,Ajax,2–2,1–0,2021/22
RO16,Chelsea,4–1,Lille,2–0,2–1,2021/22
RO16,Atlético Madrid,2–1,Manchester United,1–1,1–0,2021/22
RO16,Villarreal,4–1,Juventus,1–1,3–0,2021/22
RO16,Inter Milan,1–2,Liverpool,0–2,1–0,2021/22
RO16,Paris Saint-Germain,2–3,Real Madrid,1–0,1–3,2021/22
Quarter,Chelsea,4–5,Real Madrid,1–3,3–2 (a.e.t.),2021/22
Quarter,Manchester City,1–0,Atlético Madrid,1–0,0–0,2021/22
Quarter,Villarreal,2–1,Bayern Munich,1–0,1–1,2021/22
Quarter,Benfica,4–6,Liverpool,1–3,3–3,2021/22
Semi,Manchester City,5–6,Real Madrid,4–3,1–3 (a.e.t.),2021/22
Semi,Liverpool,5–2,Villarreal,2–0,3–2,2021/22
Final,Liverpool ,0–1, Real Madrid,null,null,2021/22
