,Team 1,score,Team 2,year,Team1 goals,Team2 goals
0,Twente,2–2,Inter Milan,2010/11,2,2
1,Werder Bremen,2–2,Tottenham Hotspur,2010/11,2,2
2,Tottenham Hotspur,4–1,Twente,2010/11,4,1
3,Inter Milan,4–0,Werder Bremen,2010/11,4,0
4,Inter Milan,4–3,Tottenham Hotspur,2010/11,4,3
5,Twente,1–1,Werder Bremen,2010/11,1,1
6,Tottenham Hotspur,3–1,Inter Milan,2010/11,3,1
7,Werder Bremen,0–2,Twente,2010/11,0,2
8,Inter Milan,1–0,Twente,2010/11,1,0
9,Tottenham Hotspur,3–0,Werder Bremen,2010/11,3,0
10,Twente,3–3,Tottenham Hotspur,2010/11,3,3
11,Werder Bremen,3–0,Inter Milan,2010/11,3,0
12,Lyon,1–0,Schalke 04,2010/11,1,0
13,Benfica,2–0,Hapoel Tel Aviv,2010/11,2,0
14,Hapoel Tel Aviv,1–3,Lyon,2010/11,1,3
15,Schalke 04,2–0,Benfica,2010/11,2,0
16,Schalke 04,3–1,Hapoel Tel Aviv,2010/11,3,1
17,Lyon,2–0,Benfica,2010/11,2,0
18,Hapoel Tel Aviv,0–0,Schalke 04,2010/11,0,0
19,Benfica,4–3,Lyon,2010/11,4,3
20,Schalke 04,3–0,Lyon,2010/11,3,0
21,Hapoel Tel Aviv,3–0,Benfica,2010/11,3,0
22,Lyon,2–2,Hapoel Tel Aviv,2010/11,2,2
23,Benfica,1–2,Schalke 04,2010/11,1,2
24,Manchester United,0–0,Rangers,2010/11,0,0
25,Bursaspor,0–4,Valencia,2010/11,0,4
26,Valencia,0–1,Manchester United,2010/11,0,1
27,Rangers,1–0,Bursaspor,2010/11,1,0
28,Rangers,1–1,Valencia,2010/11,1,1
29,Manchester United,1–0,Bursaspor,2010/11,1,0
30,Valencia,3–0,Rangers,2010/11,3,0
31,Bursaspor,0–3,Manchester United,2010/11,0,3
32,Rangers,0–1,Manchester United,2010/11,0,1
33,Valencia,6–1,Bursaspor,2010/11,6,1
34,Manchester United,1–1,Valencia,2010/11,1,1
35,Bursaspor,1–1,Rangers,2010/11,1,1
36,Barcelona,5–1,Panathinaikos,2010/11,5,1
37,Copenhagen,1–0,Rubin Kazan,2010/11,1,0
38,Rubin Kazan,1–1,Barcelona,2010/11,1,1
39,Panathinaikos,0–2,Copenhagen,2010/11,0,2
40,Panathinaikos,0–0,Rubin Kazan,2010/11,0,0
41,Barcelona,2–0,Copenhagen,2010/11,2,0
42,Rubin Kazan,0–0,Panathinaikos,2010/11,0,0
43,Copenhagen,1–1,Barcelona,2010/11,1,1
44,Rubin Kazan,1–0,Copenhagen,2010/11,1,0
45,Panathinaikos,0–3,Barcelona,2010/11,0,3
46,Barcelona,2–0,Rubin Kazan,2010/11,2,0
47,Copenhagen,3–1,Panathinaikos,2010/11,3,1
48,Bayern Munich,2–0,Roma,2010/11,2,0
49,CFR Cluj,2–1,Basel,2010/11,2,1
50,Basel,1–2,Bayern Munich,2010/11,1,2
51,Roma,2–1,CFR Cluj,2010/11,2,1
52,Roma,1–3,Basel,2010/11,1,3
53,Bayern Munich,3–2,CFR Cluj,2010/11,3,2
54,Basel,2–3,Roma,2010/11,2,3
55,CFR Cluj,0–4,Bayern Munich,2010/11,0,4
56,Roma,3–2,Bayern Munich,2010/11,3,2
57,Basel,1–0,CFR Cluj,2010/11,1,0
58,Bayern Munich,3–0,Basel,2010/11,3,0
59,CFR Cluj,1–1,Roma,2010/11,1,1
60,Marseille,0–1,Spartak Moscow,2010/11,0,1
61,Žilina,1–4,Chelsea,2010/11,1,4
62,Spartak Moscow,3–0,Žilina,2010/11,3,0
63,Chelsea,2–0,Marseille,2010/11,2,0
64,Spartak Moscow,0–2,Chelsea,2010/11,0,2
65,Marseille,1–0,Žilina,2010/11,1,0
66,Chelsea,4–1,Spartak Moscow,2010/11,4,1
67,Žilina,0–7,Marseille,2010/11,0,7
68,Spartak Moscow,0–3,Marseille,2010/11,0,3
69,Chelsea,2–1,Žilina,2010/11,2,1
70,Marseille,1–0,Chelsea,2010/11,1,0
71,Žilina,1–2,Spartak Moscow,2010/11,1,2
72,Real Madrid,2–0,Ajax,2010/11,2,0
73,Milan,2–0,Auxerre,2010/11,2,0
74,Auxerre,0–1,Real Madrid,2010/11,0,1
75,Ajax,1–1,Milan,2010/11,1,1
76,Ajax,2–1,Auxerre,2010/11,2,1
77,Real Madrid,2–0,Milan,2010/11,2,0
78,Auxerre,2–1,Ajax,2010/11,2,1
79,Milan,2–2,Real Madrid,2010/11,2,2
80,Ajax,0–4,Real Madrid,2010/11,0,4
81,Auxerre,0–2,Milan,2010/11,0,2
82,Real Madrid,4–0,Auxerre,2010/11,4,0
83,Milan,0–2,Ajax,2010/11,0,2
84,Arsenal,6–0,Braga,2010/11,6,0
85,Shakhtar Donetsk,1–0,Partizan,2010/11,1,0
86,Partizan,1–3,Arsenal,2010/11,1,3
87,Braga,0–3,Shakhtar Donetsk,2010/11,0,3
88,Braga,2–0,Partizan,2010/11,2,0
89,Arsenal,5–1,Shakhtar Donetsk,2010/11,5,1
90,Partizan,0–1,Braga,2010/11,0,1
91,Shakhtar Donetsk,2–1,Arsenal,2010/11,2,1
92,Braga,2–0,Arsenal,2010/11,2,0
93,Partizan,0–3,Shakhtar Donetsk,2010/11,0,3
94,Arsenal,3–1,Partizan,2010/11,3,1
95,Shakhtar Donetsk,2–0,Braga,2010/11,2,0
0,Manchester City,1–1,Napoli,2011/12,1,1
1,Villarreal,0–2,Bayern Munich,2011/12,0,2
2,Bayern Munich,2–0,Manchester City,2011/12,2,0
3,Napoli,2–0,Villarreal,2011/12,2,0
4,Napoli,1–1,Bayern Munich,2011/12,1,1
5,Manchester City,2–1,Villarreal,2011/12,2,1
6,Bayern Munich,3–2,Napoli,2011/12,3,2
7,Villarreal,0–3,Manchester City,2011/12,0,3
8,Napoli,2–1,Manchester City,2011/12,2,1
9,Bayern Munich,3–1,Villarreal,2011/12,3,1
10,Manchester City,2–0,Bayern Munich,2011/12,2,0
11,Villarreal,0–2,Napoli,2011/12,0,2
12,Lille,2–2,CSKA Moscow,2011/12,2,2
13,Inter Milan,0–1,Trabzonspor,2011/12,0,1
14,CSKA Moscow,2–3,Inter Milan,2011/12,2,3
15,Trabzonspor,1–1,Lille,2011/12,1,1
16,CSKA Moscow,3–0,Trabzonspor,2011/12,3,0
17,Lille,0–1,Inter Milan,2011/12,0,1
18,Trabzonspor,0–0,CSKA Moscow,2011/12,0,0
19,Inter Milan,2–1,Lille,2011/12,2,1
20,CSKA Moscow,0–2,Lille,2011/12,0,2
21,Trabzonspor,1–1,Inter Milan,2011/12,1,1
22,Lille,0–0,Trabzonspor,2011/12,0,0
23,Inter Milan,1–2,CSKA Moscow,2011/12,1,2
24,Basel,2–1,Oțelul Galați,2011/12,2,1
25,Benfica,1–1,Manchester United,2011/12,1,1
26,Manchester United,3–3,Basel,2011/12,3,3
27,Oțelul Galați,0–1,Benfica,2011/12,0,1
28,Oțelul Galați,0–2,Manchester United,2011/12,0,2
29,Basel,0–2,Benfica,2011/12,0,2
30,Manchester United,2–0,Oțelul Galați,2011/12,2,0
31,Benfica,1–1,Basel,2011/12,1,1
32,Oțelul Galați,2–3,Basel,2011/12,2,3
33,Manchester United,2–2,Benfica,2011/12,2,2
34,Basel,2–1,Manchester United,2011/12,2,1
35,Benfica,1–0,Oțelul Galați,2011/12,1,0
36,Dinamo Zagreb,0–1,Real Madrid,2011/12,0,1
37,Ajax,0–0,Lyon,2011/12,0,0
38,Lyon,2–0,Dinamo Zagreb,2011/12,2,0
39,Real Madrid,3–0,Ajax,2011/12,3,0
40,Real Madrid,4–0,Lyon,2011/12,4,0
41,Dinamo Zagreb,0–2,Ajax,2011/12,0,2
42,Lyon,0–2,Real Madrid,2011/12,0,2
43,Ajax,4–0,Dinamo Zagreb,2011/12,4,0
44,Real Madrid,6–2,Dinamo Zagreb,2011/12,6,2
45,Lyon,0–0,Ajax,2011/12,0,0
46,Dinamo Zagreb,1–7,Lyon,2011/12,1,7
47,Ajax,0–3,Real Madrid,2011/12,0,3
48,Chelsea,2–0,Bayer Leverkusen,2011/12,2,0
49,Genk,0–0,Valencia,2011/12,0,0
50,Valencia,1–1,Chelsea,2011/12,1,1
51,Bayer Leverkusen,2–0,Genk,2011/12,2,0
52,Bayer Leverkusen,2–1,Valencia,2011/12,2,1
53,Chelsea,5–0,Genk,2011/12,5,0
54,Valencia,3–1,Bayer Leverkusen,2011/12,3,1
55,Genk,1–1,Chelsea,2011/12,1,1
56,Bayer Leverkusen,2–1,Chelsea,2011/12,2,1
57,Valencia,7–0,Genk,2011/12,7,0
58,Chelsea,3–0,Valencia,2011/12,3,0
59,Genk,1–1,Bayer Leverkusen,2011/12,1,1
60,Olympiacos,0–1,Marseille,2011/12,0,1
61,Borussia Dortmund,1–1,Arsenal,2011/12,1,1
62,Arsenal,2–1,Olympiacos,2011/12,2,1
63,Marseille,3–0,Borussia Dortmund,2011/12,3,0
64,Marseille,0–1,Arsenal,2011/12,0,1
65,Olympiacos,3–1,Borussia Dortmund,2011/12,3,1
66,Arsenal,0–0,Marseille,2011/12,0,0
67,Borussia Dortmund,1–0,Olympiacos,2011/12,1,0
68,Marseille,0–1,Olympiacos,2011/12,0,1
69,Arsenal,2–1,Borussia Dortmund,2011/12,2,1
70,Olympiacos,3–1,Arsenal,2011/12,3,1
71,Borussia Dortmund,2–3,Marseille,2011/12,2,3
72,Porto,2–1,Shakhtar Donetsk,2011/12,2,1
73,APOEL,2–1,Zenit Saint Petersburg,2011/12,2,1
74,Zenit Saint Petersburg,3–1,Porto,2011/12,3,1
75,Shakhtar Donetsk,1–1,APOEL,2011/12,1,1
76,Shakhtar Donetsk,2–2,Zenit Saint Petersburg,2011/12,2,2
77,Porto,1–1,APOEL,2011/12,1,1
78,Zenit Saint Petersburg,1–0,Shakhtar Donetsk,2011/12,1,0
79,APOEL,2–1,Porto,2011/12,2,1
80,Zenit Saint Petersburg,0–0,APOEL,2011/12,0,0
81,Shakhtar Donetsk,0–2,Porto,2011/12,0,2
82,Porto,0–0,Zenit Saint Petersburg,2011/12,0,0
83,APOEL,0–2,Shakhtar Donetsk,2011/12,0,2
84,Barcelona,2–2,Milan,2011/12,2,2
85,Viktoria Plzeň,1–1,BATE Borisov,2011/12,1,1
86,BATE Borisov,0–5,Barcelona,2011/12,0,5
87,Milan,2–0,Viktoria Plzeň,2011/12,2,0
88,Milan,2–0,BATE Borisov,2011/12,2,0
89,Barcelona,2–0,Viktoria Plzeň,2011/12,2,0
90,BATE Borisov,1–1,Milan,2011/12,1,1
91,Viktoria Plzeň,0–4,Barcelona,2011/12,0,4
92,BATE Borisov,0–1,Viktoria Plzeň,2011/12,0,1
93,Milan,2–3,Barcelona,2011/12,2,3
94,Barcelona,4–0,BATE Borisov,2011/12,4,0
95,Viktoria Plzeň,2–2,Milan,2011/12,2,2
0,Dinamo Zagreb,0–2,Porto,2012/13,0,2
1,Paris Saint-Germain,4–1,Dynamo Kyiv,2012/13,4,1
2,Dynamo Kyiv,2–0,Dinamo Zagreb,2012/13,2,0
3,Porto,1–0,Paris Saint-Germain,2012/13,1,0
4,Porto,3–2,Dynamo Kyiv,2012/13,3,2
5,Dinamo Zagreb,0–2,Paris Saint-Germain,2012/13,0,2
6,Dynamo Kyiv,0–0,Porto,2012/13,0,0
7,Paris Saint-Germain,4–0,Dinamo Zagreb,2012/13,4,0
8,Porto,3–0,Dinamo Zagreb,2012/13,3,0
9,Dynamo Kyiv,0–2,Paris Saint-Germain,2012/13,0,2
10,Dinamo Zagreb,1–1,Dynamo Kyiv,2012/13,1,1
11,Paris Saint-Germain,2–1,Porto,2012/13,2,1
12,Montpellier,1–2,Arsenal,2012/13,1,2
13,Olympiacos,1–2,Schalke 04,2012/13,1,2
14,Schalke 04,2–2,Montpellier,2012/13,2,2
15,Arsenal,3–1,Olympiacos,2012/13,3,1
16,Arsenal,0–2,Schalke 04,2012/13,0,2
17,Montpellier,1–2,Olympiacos,2012/13,1,2
18,Schalke 04,2–2,Arsenal,2012/13,2,2
19,Olympiacos,3–1,Montpellier,2012/13,3,1
20,Arsenal,2–0,Montpellier,2012/13,2,0
21,Schalke 04,1–0,Olympiacos,2012/13,1,0
22,Montpellier,1–1,Schalke 04,2012/13,1,1
23,Olympiacos,2–1,Arsenal,2012/13,2,1
24,Málaga,3–0,Zenit Saint Petersburg,2012/13,3,0
25,Milan,0–0,Anderlecht,2012/13,0,0
26,Zenit Saint Petersburg,2–3,Milan,2012/13,2,3
27,Anderlecht,0–3,Málaga,2012/13,0,3
28,Zenit Saint Petersburg,1–0,Anderlecht,2012/13,1,0
29,Málaga,1–0,Milan,2012/13,1,0
30,Anderlecht,1–0,Zenit Saint Petersburg,2012/13,1,0
31,Milan,1–1,Málaga,2012/13,1,1
32,Zenit Saint Petersburg,2–2,Málaga,2012/13,2,2
33,Anderlecht,1–3,Milan,2012/13,1,3
34,Málaga,2–2,Anderlecht,2012/13,2,2
35,Milan,0–1,Zenit Saint Petersburg,2012/13,0,1
36,Borussia Dortmund,1–0,Ajax,2012/13,1,0
37,Real Madrid,3–2,Manchester City,2012/13,3,2
38,Manchester City,1–1,Borussia Dortmund,2012/13,1,1
39,Ajax,1–4,Real Madrid,2012/13,1,4
40,Ajax,3–1,Manchester City,2012/13,3,1
41,Borussia Dortmund,2–1,Real Madrid,2012/13,2,1
42,Manchester City,2–2,Ajax,2012/13,2,2
43,Real Madrid,2–2,Borussia Dortmund,2012/13,2,2
44,Ajax,1–4,Borussia Dortmund,2012/13,1,4
45,Manchester City,1–1,Real Madrid,2012/13,1,1
46,Borussia Dortmund,1–0,Manchester City,2012/13,1,0
47,Real Madrid,4–1,Ajax,2012/13,4,1
48,Shakhtar Donetsk,2–0,FC Nordsjælland,2012/13,2,0
49,Chelsea,2–2,Juventus,2012/13,2,2
50,Juventus,1–1,Shakhtar Donetsk,2012/13,1,1
51,FC Nordsjælland,0–4,Chelsea,2012/13,0,4
52,FC Nordsjælland,1–1,Juventus,2012/13,1,1
53,Shakhtar Donetsk,2–1,Chelsea,2012/13,2,1
54,Juventus,4–0,FC Nordsjælland,2012/13,4,0
55,Chelsea,3–2,Shakhtar Donetsk,2012/13,3,2
56,FC Nordsjælland,2–5,Shakhtar Donetsk,2012/13,2,5
57,Juventus,3–0,Chelsea,2012/13,3,0
58,Shakhtar Donetsk,0–1,Juventus,2012/13,0,1
59,Chelsea,6–1,FC Nordsjælland,2012/13,6,1
60,Lille,1–3,BATE Borisov,2012/13,1,3
61,Bayern Munich,2–1,Valencia,2012/13,2,1
62,Valencia,2–0,Lille,2012/13,2,0
63,BATE Borisov,3–1,Bayern Munich,2012/13,3,1
64,BATE Borisov,0–3,Valencia,2012/13,0,3
65,Lille,0–1,Bayern Munich,2012/13,0,1
66,Valencia,4–2,BATE Borisov,2012/13,4,2
67,Bayern Munich,6–1,Lille,2012/13,6,1
68,BATE Borisov,0–2,Lille,2012/13,0,2
69,Valencia,1–1,Bayern Munich,2012/13,1,1
70,Lille,0–1,Valencia,2012/13,0,1
71,Bayern Munich,4–1,BATE Borisov,2012/13,4,1
72,Barcelona,3–2,Spartak Moscow,2012/13,3,2
73,Celtic,0–0,Benfica,2012/13,0,0
74,Spartak Moscow,2–3,Celtic,2012/13,2,3
75,Benfica,0–2,Barcelona,2012/13,0,2
76,Spartak Moscow,2–1,Benfica,2012/13,2,1
77,Barcelona,2–1,Celtic,2012/13,2,1
78,Benfica,2–0,Spartak Moscow,2012/13,2,0
79,Celtic,2–1,Barcelona,2012/13,2,1
80,Spartak Moscow,0–3,Barcelona,2012/13,0,3
81,Benfica,2–1,Celtic,2012/13,2,1
82,Barcelona,0–0,Benfica,2012/13,0,0
83,Celtic,2–1,Spartak Moscow,2012/13,2,1
84,Manchester United,1–0,Galatasaray,2012/13,1,0
85,Braga,0–2,CFR Cluj,2012/13,0,2
86,CFR Cluj,1–2,Manchester United,2012/13,1,2
87,Galatasaray,0–2,Braga,2012/13,0,2
88,Galatasaray,1–1,CFR Cluj,2012/13,1,1
89,Manchester United,3–2,Braga,2012/13,3,2
90,CFR Cluj,1–3,Galatasaray,2012/13,1,3
91,Braga,1–3,Manchester United,2012/13,1,3
92,Galatasaray,1–0,Manchester United,2012/13,1,0
93,CFR Cluj,3–1,Braga,2012/13,3,1
94,Manchester United,0–1,CFR Cluj,2012/13,0,1
95,Braga,1–2,Galatasaray,2012/13,1,2
0,Manchester United,4–2,Bayer Leverkusen,2013/14,4,2
1,Real Sociedad,0–2,Shakhtar Donetsk,2013/14,0,2
2,Shakhtar Donetsk,1–1,Manchester United,2013/14,1,1
3,Bayer Leverkusen,2–1,Real Sociedad,2013/14,2,1
4,Bayer Leverkusen,4–0,Shakhtar Donetsk,2013/14,4,0
5,Manchester United,1–0,Real Sociedad,2013/14,1,0
6,Shakhtar Donetsk,0–0,Bayer Leverkusen,2013/14,0,0
7,Real Sociedad,0–0,Manchester United,2013/14,0,0
8,Bayer Leverkusen,0–5,Manchester United,2013/14,0,5
9,Shakhtar Donetsk,4–0,Real Sociedad,2013/14,4,0
10,Manchester United,1–0,Shakhtar Donetsk,2013/14,1,0
11,Real Sociedad,0–1,Bayer Leverkusen,2013/14,0,1
12,Galatasaray,1–6,Real Madrid,2013/14,1,6
13,Copenhagen,1–1,Juventus,2013/14,1,1
14,Juventus,2–2,Galatasaray,2013/14,2,2
15,Real Madrid,4–0,Copenhagen,2013/14,4,0
16,Real Madrid,2–1,Juventus,2013/14,2,1
17,Galatasaray,3–1,Copenhagen,2013/14,3,1
18,Juventus,2–2,Real Madrid,2013/14,2,2
19,Copenhagen,1–0,Galatasaray,2013/14,1,0
20,Real Madrid,4–1,Galatasaray,2013/14,4,1
21,Juventus,3–1,Copenhagen,2013/14,3,1
22,Galatasaray,1–0,Juventus,2013/14,1,0
23,Copenhagen,0–2,Real Madrid,2013/14,0,2
24,Benfica,2–0,Anderlecht,2013/14,2,0
25,Olympiacos,1–4,Paris Saint-Germain,2013/14,1,4
26,Paris Saint-Germain,3–0,Benfica,2013/14,3,0
27,Anderlecht,0–3,Olympiacos,2013/14,0,3
28,Anderlecht,0–5,Paris Saint-Germain,2013/14,0,5
29,Benfica,1–1,Olympiacos,2013/14,1,1
30,Paris Saint-Germain,1–1,Anderlecht,2013/14,1,1
31,Olympiacos,1–0,Benfica,2013/14,1,0
32,Anderlecht,2–3,Benfica,2013/14,2,3
33,Paris Saint-Germain,2–1,Olympiacos,2013/14,2,1
34,Benfica,2–1,Paris Saint-Germain,2013/14,2,1
35,Olympiacos,3–1,Anderlecht,2013/14,3,1
36,Bayern Munich,3–0,CSKA Moscow,2013/14,3,0
37,Viktoria Plzeň,0–3,Manchester City,2013/14,0,3
38,CSKA Moscow,3–2,Viktoria Plzeň,2013/14,3,2
39,Manchester City,1–3,Bayern Munich,2013/14,1,3
40,CSKA Moscow,1–2,Manchester City,2013/14,1,2
41,Bayern Munich,5–0,Viktoria Plzeň,2013/14,5,0
42,Manchester City,5–2,CSKA Moscow,2013/14,5,2
43,Viktoria Plzeň,0–1,Bayern Munich,2013/14,0,1
44,CSKA Moscow,1–3,Bayern Munich,2013/14,1,3
45,Manchester City,4–2,Viktoria Plzeň,2013/14,4,2
46,Bayern Munich,2–3,Manchester City,2013/14,2,3
47,Viktoria Plzeň,2–1,CSKA Moscow,2013/14,2,1
48,Schalke 04,3–0,Steaua București,2013/14,3,0
49,Chelsea,1–2,Basel,2013/14,1,2
50,Basel,0–1,Schalke 04,2013/14,0,1
51,Steaua București,0–4,Chelsea,2013/14,0,4
52,Steaua București,1–1,Basel,2013/14,1,1
53,Schalke 04,0–3,Chelsea,2013/14,0,3
54,Basel,1–1,Steaua București,2013/14,1,1
55,Chelsea,3–0,Schalke 04,2013/14,3,0
56,Steaua București,0–0,Schalke 04,2013/14,0,0
57,Basel,1–0,Chelsea,2013/14,1,0
58,Schalke 04,2–0,Basel,2013/14,2,0
59,Chelsea,1–0,Steaua București,2013/14,1,0
60,Marseille,1–2,Arsenal,2013/14,1,2
61,Napoli,2–1,Borussia Dortmund,2013/14,2,1
62,Borussia Dortmund,3–0,Marseille,2013/14,3,0
63,Arsenal,2–0,Napoli,2013/14,2,0
64,Arsenal,1–2,Borussia Dortmund,2013/14,1,2
65,Marseille,1–2,Napoli,2013/14,1,2
66,Borussia Dortmund,0–1,Arsenal,2013/14,0,1
67,Napoli,3–2,Marseille,2013/14,3,2
68,Arsenal,2–0,Marseille,2013/14,2,0
69,Borussia Dortmund,3–1,Napoli,2013/14,3,1
70,Marseille,1–2,Borussia Dortmund,2013/14,1,2
71,Napoli,2–0,Arsenal,2013/14,2,0
72,Austria Wien,0–1,Porto,2013/14,0,1
73,Atlético Madrid,3–1,Zenit Saint Petersburg,2013/14,3,1
74,Zenit Saint Petersburg,0–0,Austria Wien,2013/14,0,0
75,Porto,1–2,Atlético Madrid,2013/14,1,2
76,Porto,0–1,Zenit Saint Petersburg,2013/14,0,1
77,Austria Wien,0–3,Atlético Madrid,2013/14,0,3
78,Zenit Saint Petersburg,1–1,Porto,2013/14,1,1
79,Atlético Madrid,4–0,Austria Wien,2013/14,4,0
80,Zenit Saint Petersburg,1–1,Atlético Madrid,2013/14,1,1
81,Porto,1–1,Austria Wien,2013/14,1,1
82,Austria Wien,4–1,Zenit Saint Petersburg,2013/14,4,1
83,Atlético Madrid,2–0,Porto,2013/14,2,0
84,Milan,2–0,Celtic,2013/14,2,0
85,Barcelona,4–0,Ajax,2013/14,4,0
86,Ajax,1–1,Milan,2013/14,1,1
87,Celtic,0–1,Barcelona,2013/14,0,1
88,Celtic,2–1,Ajax,2013/14,2,1
89,Milan,1–1,Barcelona,2013/14,1,1
90,Ajax,1–0,Celtic,2013/14,1,0
91,Barcelona,3–1,Milan,2013/14,3,1
92,Celtic,0–3,Milan,2013/14,0,3
93,Ajax,2–1,Barcelona,2013/14,2,1
94,Milan,0–0,Ajax,2013/14,0,0
95,Barcelona,6–1,Celtic,2013/14,6,1
0,Olympiacos,3–2,Atlético Madrid,2014/15,3,2
1,Juventus,2–0,Malmö FF,2014/15,2,0
2,Malmö FF,2–0,Olympiacos,2014/15,2,0
3,Atlético Madrid,1–0,Juventus,2014/15,1,0
4,Atlético Madrid,5–0,Malmö FF,2014/15,5,0
5,Olympiacos,1–0,Juventus,2014/15,1,0
6,Malmö FF,0–2,Atlético Madrid,2014/15,0,2
7,Juventus,3–2,Olympiacos,2014/15,3,2
8,Atlético Madrid,4–0,Olympiacos,2014/15,4,0
9,Malmö FF,0–2,Juventus,2014/15,0,2
10,Olympiacos,4–2,Malmö FF,2014/15,4,2
11,Juventus,0–0,Atlético Madrid,2014/15,0,0
12,Liverpool,2–1,Ludogorets Razgrad,2014/15,2,1
13,Real Madrid,5–1,Basel,2014/15,5,1
14,Basel,1–0,Liverpool,2014/15,1,0
15,Ludogorets Razgrad,1–2,Real Madrid,2014/15,1,2
16,Ludogorets Razgrad,1–0,Basel,2014/15,1,0
17,Liverpool,0–3,Real Madrid,2014/15,0,3
18,Basel,4–0,Ludogorets Razgrad,2014/15,4,0
19,Real Madrid,1–0,Liverpool,2014/15,1,0
20,Ludogorets Razgrad,2–2,Liverpool,2014/15,2,2
21,Basel,0–1,Real Madrid,2014/15,0,1
22,Liverpool,1–1,Basel,2014/15,1,1
23,Real Madrid,4–0,Ludogorets Razgrad,2014/15,4,0
24,Monaco,1–0,Bayer Leverkusen,2014/15,1,0
25,Benfica,0–2,Zenit Saint Petersburg,2014/15,0,2
26,Zenit Saint Petersburg,0–0,Monaco,2014/15,0,0
27,Bayer Leverkusen,3–1,Benfica,2014/15,3,1
28,Bayer Leverkusen,2–0,Zenit Saint Petersburg,2014/15,2,0
29,Monaco,0–0,Benfica,2014/15,0,0
30,Zenit Saint Petersburg,1–2,Bayer Leverkusen,2014/15,1,2
31,Benfica,1–0,Monaco,2014/15,1,0
32,Zenit Saint Petersburg,1–0,Benfica,2014/15,1,0
33,Bayer Leverkusen,0–1,Monaco,2014/15,0,1
34,Monaco,2–0,Zenit Saint Petersburg,2014/15,2,0
35,Benfica,0–0,Bayer Leverkusen,2014/15,0,0
36,Galatasaray,1–1,Anderlecht,2014/15,1,1
37,Borussia Dortmund,2–0,Arsenal,2014/15,2,0
38,Arsenal,4–1,Galatasaray,2014/15,4,1
39,Anderlecht,0–3,Borussia Dortmund,2014/15,0,3
40,Anderlecht,1–2,Arsenal,2014/15,1,2
